report_date,unique_material_id,material_id_list,channel_material_id_list,original_title_list,original_url_list,corrected_url_list,corrected_title_list,cost,new_buyer_cnt,newer_cost,rn
20251106,7566189557730345011,"[""rDWYreI7""]","[""7566189557730345011""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]",23737.83,130,182.59869230769232,1
20251105,7566189557730345011,"[""rDWYreI7""]","[""7566189557730345011""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]",17555.16,113,155.3553982300885,1
20251107,7566189557730345011,"[""rDWYreI7""]","[""7566189557730345011""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]",12833.35,86,149.225,1
20251104,7566189557730345011,"[""rDWYreI7""]","[""7566189557730345011""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]",20557.9,114,180.3324561403509,1
20251102,7566189557730345011,"[""rDWYreI7""]","[""7566189557730345011""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]",41301.47,252,163.8947222222222,1
20251103,7566189557730345011,"[""rDWYreI7""]","[""7566189557730345011""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]",16349.86,100,163.4986,1
20251101,7566189557730345011,"[""rDWYreI7""]","[""7566189557730345011""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/88/14a8b617-0689-4bbf-a3c1-ada5e9ede259.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/149/fe6c9c5b-ef0d-4fc3-84f9-feda9ba216e2.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/152/a37564b1-e0c9-4703-a937-96ac26d2a69f.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025101417553343172.jpg""'，'""https://a.vpimg2.com/upload/merchandise/pdcvis/2025/07/26/51/c4e7065e-dd43-4366-b365-3fa7333b102e.jpg""]","[""VIP自A富男式衬0125313+3+字节+抖音图文+富铤+男装+6921540885987558292+AIGC+1015-190425""]",58280.58,345,168.92921739130435,1
20251102,7563523933297279027,"[""rDdeMMkz""'，'""rDdeMMkx""'，'""rDdeMMky""]","[""7563523933297279027""]","[""VIP自A雪男式毛0270493+3+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198912""'，'""VIP自A雪男式毛0270493+1+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198913""'，'""VIP自A雪男式毛0270493+2+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198914""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015281098635.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015283486541.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202510201527573102.jpg""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202510201527573102.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015283486541.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015281098635.jpg""]","[""VIP自A雪男式毛0270493+3+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198912""'，'""VIP自A雪男式毛0270493+2+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198914""'，'""VIP自A雪男式毛0270493+1+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198913""]",12900.68,76,169.74578947368423,2
20251104,7563523933297279027,"[""rDdeMMkz""'，'""rDdeMMkx""'，'""rDdeMMky""]","[""7563523933297279027""]","[""VIP自A雪男式毛0270493+3+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198912""'，'""VIP自A雪男式毛0270493+1+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198913""'，'""VIP自A雪男式毛0270493+2+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198914""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015281098635.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015283486541.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202510201527573102.jpg""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202510201527573102.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015283486541.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015281098635.jpg""]","[""VIP自A雪男式毛0270493+3+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198912""'，'""VIP自A雪男式毛0270493+2+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198914""'，'""VIP自A雪男式毛0270493+1+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198913""]",5297.31,29,182.66586206896554,2
20251106,7563523933297279027,"[""rDdeMMkz""'，'""rDdeMMkx""'，'""rDdeMMky""]","[""7563523933297279027""]","[""VIP自A雪男式毛0270493+3+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198912""'，'""VIP自A雪男式毛0270493+1+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198913""'，'""VIP自A雪男式毛0270493+2+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198914""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015281098635.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015283486541.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202510201527573102.jpg""]","[""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/202510201527573102.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015283486541.jpg""'，'""http://vos.vipstatic.com/mre-admin.vip.vip.com/psdAsset/image/2025102015281098635.jpg""]","[""VIP自A雪男式毛0270493+3+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198912""'，'""VIP自A雪男式毛0270493+2+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198914""'，'""VIP自A雪男式毛0270493+1+字节+抖音图文+雪中飞+男装+6921517447384979400+AIGC+1020-198913""]",3946.92,24,164.455,2
